Symbol,MarketCap,MarketCapFormatted
NVDA,4630069116928,$4630.07B
AAPL,4033205501952,$4033.21B
MSFT,3791850569728,$3791.85B
GOOGL,3364478255104,$3364.48B
GOOG,3364478255104,$3364.48B
AMZN,2539781357568,$2539.78B
AVGO,1617220993024,$1617.22B
META,1537244659712,$1537.24B
TSLA,1344795049984,$1344.80B
NFLX,489084583936,$489.08B
PLTR,410284720128,$410.28B
COST,409976176640,$409.98B
AMD,403689177088,$403.69B
ASML,396583239680,$396.58B
CSCO,307376553984,$307.38B
MU,277058289664,$277.06B
AZN,276258226176,$276.26B
TMUS,241686921216,$241.69B
QQQ,239342862336,$239.34B
SHOP,203850612736,$203.85B
PEP,199426572288,$199.43B
PDD,190899847168,$190.90B
APP,187953692672,$187.95B
QCOM,186889502720,$186.89B
AMGN,181327970304,$181.33B
AMAT,180049149952,$180.05B
BKNG,163606265856,$163.61B
GILD,155333083136,$155.33B
ARM,148868710400,$148.87B
TXN,147405914112,$147.41B
PANW,140387450880,$140.39B
ADBE,139644960768,$139.64B
CRWD,134900932608,$134.90B
SNY,127312871424,$127.31B
ADI,116854177792,$116.85B
VRTX,110913183744,$110.91B
CEG,105716432896,$105.72B
MELI,103872946176,$103.87B
ADP,102976692224,$102.98B
CME,102784466944,$102.78B
CMCSA,101919735808,$101.92B
SBUX,98273632256,$98.27B
NTES,91104960512,$91.10B
CDNS,86012788736,$86.01B
DASH,84135223296,$84.14B
ORLY,83397484544,$83.40B
EQIX,77227278336,$77.23B
COIN,76346949632,$76.35B
CTAS,75514765312,$75.51B
MRVL,75450990592,$75.45B
MDLZ,73511723008,$73.51B
ABNB,73483526144,$73.48B
SNPS,73171976192,$73.17B
REGN,73043075072,$73.04B
MNST,69671378944,$69.67B
DDOG,65214234624,$65.21B
CSX,64988581888,$64.99B
AEP,64881803264,$64.88B
ADSK,63770075136,$63.77B
TRI,62780624896,$62.78B
FTNT,61209673728,$61.21B
PYPL,61126144000,$61.13B
ALNY,59975708672,$59.98B
MSTR,59924750336,$59.92B
WDAY,59671830528,$59.67B
STX,57204486144,$57.20B
WBD,57067753472,$57.07B
ARGX,55903354880,$55.90B
WDC,53961965568,$53.96B
ROST,52634644480,$52.63B
PCAR,50708480000,$50.71B
NXPI,50641940480,$50.64B
EA,50215112704,$50.22B
NDAQ,49922129920,$49.92B
ZS,48851636224,$48.85B
TCOM,48737837056,$48.74B
ROP,48383025152,$48.38B
BKR,48085491712,$48.09B
XEL,47666274304,$47.67B
FAST,46782455808,$46.78B
EXC,46320857088,$46.32B
FER,46023770112,$46.02B
BIDU,44659818496,$44.66B
MPWR,44279963648,$44.28B
AXON,43976011776,$43.98B
ONC,43925848064,$43.93B
TTWO,43894210560,$43.89B
FANG,42749620224,$42.75B
CCEP,40955867136,$40.96B
PAYX,40344133632,$40.34B
CPRT,40281268224,$40.28B
TEAM,40006041600,$40.01B
CRWV,38786330624,$38.79B
EBAY,38162358272,$38.16B
SNDK,37247959040,$37.25B
CTSH,35503476736,$35.50B
SYM,35146162176,$35.15B
FISV,34707578880,$34.71B
SOFI,34235584512,$34.24B
GEHC,33694930944,$33.69B
ACGL,33637179392,$33.64B
RYAAY,33369217024,$33.37B
ERIC,33094377472,$33.09B
EXPE,32759068672,$32.76B
UAL,31457619968,$31.46B
WTW,31051276288,$31.05B
VRSK,30338621440,$30.34B
VOD,29850126336,$29.85B
